time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),weathercode (wmo code),windspeed_10m_max (km/h)
2025-07-09,33.0,27.4,0.70,51,13.1
2025-07-10,32.1,26.4,19.00,63,20.4
2025-07-11,30.0,24.9,30.20,63,14.5
2025-07-12,32.8,25.1,12.80,63,10.7
2025-07-13,33.8,26.7,7.00,63,10.2
2025-07-14,32.7,25.6,44.10,65,11.2
2025-07-15,32.0,25.7,25.60,65,14.1
2025-07-16,30.1,25.5,48.00,65,17.7
2025-07-17,31.3,24.7,84.50,65,24.1
2025-07-18,34.3,26.1,0.00,3,9.3
2025-07-19,34.4,27.1,0.10,51,10.7
2025-07-20,33.0,27.3,3.00,61,8.6
2025-07-21,33.2,26.7,0.20,51,5.4
2025-07-22,34.0,27.4,0.00,3,12.0
2025-07-23,34.4,26.9,2.50,61,9.2
2025-07-24,33.0,26.7,11.60,65,10.1
2025-07-25,32.2,26.7,15.70,63,8.9
2025-07-26,32.2,25.7,11.80,63,24.6
2025-07-27,33.1,26.7,3.10,61,14.5
2025-07-28,30.8,26.8,2.70,53,11.5
2025-07-29,31.4,26.3,2.30,53,9.3
2025-07-30,32.2,26.2,15.50,65,12.9
2025-07-31,32.0,26.4,1.60,51,8.9
2025-08-01,32.0,25.9,5.80,63,11.7
2025-08-02,31.4,25.7,22.80,63,12.0
2025-08-03,27.5,25.1,50.90,65,11.8
2025-08-04,28.7,24.9,23.90,63,14.6
2025-08-05,32.0,24.3,6.80,63,13.3
2025-08-06,32.4,25.6,1.30,53,10.7
2025-08-07,33.3,26.5,3.30,61,13.3
2025-08-08,29.7,25.6,27.20,63,13.8
2025-08-09,32.4,26.0,0.10,51,7.9
2025-08-10,32.8,26.2,3.30,61,9.0
2025-08-11,32.6,27.0,6.70,63,10.6
2025-08-12,32.6,26.0,2.40,61,11.9
2025-08-13,30.7,25.8,39.90,65,11.6
2025-08-14,32.1,26.2,2.20,55,13.5
2025-08-15,33.2,25.9,0.20,51,12.5
2025-08-16,NaN,NaN,NaN,NaN,NaN
2025-08-17,NaN,NaN,NaN,NaN,NaN
