time,temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),weathercode (wmo code),windspeed_10m_max (km/h)
2025-02-11,24.6,12.0,0.00,3,11.7
2025-02-12,25.1,11.8,0.00,3,10.4
2025-02-13,25.1,11.2,0.00,3,9.7
2025-02-14,24.4,11.2,0.00,3,10.1
2025-02-15,25.9,12.4,0.00,3,9.9
2025-02-16,25.3,11.7,0.00,3,9.9
2025-02-17,25.0,11.4,0.00,3,9.4
2025-02-18,24.6,11.8,0.00,3,10.2
2025-02-19,25.6,11.9,0.00,3,8.4
2025-02-20,25.8,13.5,0.20,51,7.3
2025-02-21,26.0,12.7,0.00,1,11.1
2025-02-22,25.4,12.9,0.00,3,9.9
2025-02-23,25.9,12.7,0.00,0,11.4
2025-02-24,25.8,12.8,0.00,3,12.1
2025-02-25,25.7,12.7,0.40,51,13.5
2025-02-26,24.3,15.1,4.50,61,13.8
2025-02-27,25.7,14.0,0.20,51,12.6
2025-02-28,24.9,13.1,6.70,63,10.6
2025-03-01,23.7,15.6,2.10,53,12.3
2025-03-02,24.1,16.3,1.40,51,11.1
2025-03-03,25.9,14.6,0.00,3,9.6
2025-03-04,26.8,14.4,0.00,3,10.1
2025-03-05,27.0,13.0,0.00,3,7.8
2025-03-06,25.9,14.6,0.00,2,10.0
2025-03-07,26.1,13.8,1.20,53,11.5
2025-03-08,24.7,14.4,3.60,61,8.5
2025-03-09,27.5,14.3,0.00,0,10.3
2025-03-10,26.7,12.0,0.00,3,12.2
2025-03-11,22.9,14.7,9.50,63,13.4
2025-03-12,24.2,15.4,17.80,63,13.4
2025-03-13,24.5,14.9,3.80,61,10.1
2025-03-14,25.6,14.2,0.00,3,9.7
2025-03-15,25.9,13.2,0.00,3,12.0
2025-03-16,25.1,14.7,2.90,61,8.3
2025-03-17,24.5,15.3,12.70,63,6.7
2025-03-18,24.5,15.7,4.60,55,9.1
2025-03-19,25.5,15.7,0.50,51,9.7
2025-03-20,25.3,14.5,0.00,3,10.9
2025-03-21,24.4,14.8,7.70,63,8.1
2025-03-22,23.1,15.0,11.80,65,6.6
2025-03-23,23.0,15.0,12.20,65,6.6
2025-03-24,24.1,15.6,1.70,51,9.0
2025-03-25,25.0,14.9,1.10,51,6.7
2025-03-26,23.7,15.3,4.20,61,8.1
2025-03-27,23.5,14.5,5.10,63,6.6
2025-03-28,25.6,15.0,0.10,51,10.6
2025-03-29,27.3,15.7,0.00,3,10.5
2025-03-30,26.8,14.0,0.00,3,10.6
2025-03-31,27.0,15.2,0.00,3,4.9
2025-04-01,24.1,15.1,2.80,53,11.7
2025-04-02,24.8,15.0,1.40,53,11.5
2025-04-03,23.2,15.6,10.20,63,7.7
2025-04-04,22.7,16.4,29.90,65,8.7
2025-04-05,22.5,15.3,23.40,65,9.8
2025-04-06,23.4,16.0,18.70,65,5.8
2025-04-07,25.6,15.9,0.00,3,8.2
2025-04-08,26.4,16.0,0.70,51,7.3
2025-04-09,26.3,15.2,1.60,53,8.5
2025-04-10,22.5,15.9,4.40,55,11.6
2025-04-11,23.2,15.3,11.00,63,8.6
2025-04-12,23.1,16.3,12.30,63,10.8
2025-04-13,23.4,15.7,1.70,53,8.0
2025-04-14,24.3,15.6,0.20,51,4.8
2025-04-15,25.1,15.8,8.60,63,8.0
2025-04-16,23.7,16.2,4.20,61,7.4
2025-04-17,24.0,16.6,3.90,53,6.4
2025-04-18,24.4,16.9,9.60,63,5.2
2025-04-19,23.8,17.3,5.90,63,6.1
2025-04-20,23.6,16.4,5.90,63,4.6
2025-04-21,24.2,16.4,2.80,61,5.6
2025-04-22,24.8,16.2,1.30,53,6.0
2025-04-23,23.9,16.5,3.10,53,7.5
2025-04-24,24.3,16.4,5.80,61,6.0
2025-04-25,24.0,17.6,3.60,61,4.6
2025-04-26,24.6,16.5,2.70,53,7.4
2025-04-27,24.1,16.5,5.60,63,7.3
2025-04-28,24.3,16.4,4.50,61,6.7
2025-04-29,24.1,17.1,8.60,63,5.4
2025-04-30,24.3,17.1,3.50,55,4.5
2025-05-01,24.5,17.2,12.90,63,6.5
2025-05-02,24.8,16.8,17.30,65,6.8
2025-05-03,23.5,16.9,19.80,63,6.7
2025-05-04,24.5,16.8,11.60,63,6.8
2025-05-05,24.2,17.0,21.90,65,6.8
2025-05-06,24.9,16.6,5.80,63,7.5
2025-05-07,24.6,16.2,8.00,63,9.0
2025-05-08,23.0,15.2,2.30,53,11.1
2025-05-09,23.6,15.6,1.90,53,9.6
2025-05-10,23.1,15.1,0.00,3,12.4
2025-05-11,23.0,15.3,0.50,51,10.2
2025-05-12,23.6,15.7,10.80,63,9.2
2025-05-13,23.0,16.4,17.90,63,8.8
2025-05-14,24.0,16.8,18.80,65,7.4
2025-05-15,23.7,17.0,6.50,63,8.7
2025-05-16,23.1,16.7,7.70,63,10.4
2025-05-17,21.7,16.8,0.90,51,10.5
2025-05-18,21.8,17.0,3.20,55,12.2
2025-05-19,21.7,16.8,14.70,63,9.9
2025-05-20,20.5,16.7,13.10,61,22.2
2025-05-21,21.5,16.6,5.10,53,17.8
2025-05-22,22.4,17.0,1.30,51,15.7
2025-05-23,19.8,17.1,26.50,63,18.4
2025-05-24,19.2,17.3,55.90,63,21.4
2025-05-25,18.8,17.0,75.00,63,24.3
2025-05-26,18.1,17.2,97.10,63,25.1
2025-05-27,18.0,16.9,66.30,63,30.7
2025-05-28,18.8,16.8,66.70,63,35.9
2025-05-29,18.7,16.9,95.10,65,27.8
2025-05-30,18.7,15.3,126.10,65,26.7
2025-05-31,20.8,16.4,14.00,63,17.2
2025-06-01,22.7,17.0,1.40,51,15.7
2025-06-02,22.4,16.2,3.80,53,15.6
2025-06-03,20.2,16.9,9.00,55,17.7
2025-06-04,19.9,16.5,10.90,63,14.6
2025-06-05,23.7,15.8,0.00,3,14.9
2025-06-06,22.5,15.3,1.60,51,11.9
2025-06-07,22.5,15.5,0.60,51,15.0
2025-06-08,23.0,15.5,1.80,53,13.4
2025-06-09,22.0,16.4,3.20,53,17.7
2025-06-10,21.6,16.0,8.30,61,15.2
2025-06-11,19.3,16.9,26.20,63,18.4
2025-06-12,18.7,16.2,25.10,61,20.9
2025-06-13,19.0,17.0,37.10,63,24.2
2025-06-14,18.2,16.2,64.50,65,23.6
2025-06-15,17.8,16.5,122.70,65,26.7
2025-06-16,17.7,16.3,70.40,63,29.6
2025-06-17,17.9,16.4,39.50,63,23.8
2025-06-18,19.8,16.9,14.40,61,18.2
2025-06-19,19.6,17.1,9.20,55,16.3
2025-06-20,22.0,16.0,3.50,53,16.8
2025-06-21,20.8,16.4,2.90,53,16.1
2025-06-22,19.9,16.6,11.40,61,16.6
2025-06-23,18.8,16.3,7.10,53,21.8
2025-06-24,18.4,16.7,28.60,63,22.8
2025-06-25,19.0,16.6,42.70,63,23.2
2025-06-26,19.0,16.9,44.60,63,19.6
2025-06-27,21.8,16.7,13.60,63,18.6
2025-06-28,20.0,16.8,9.80,63,18.0
2025-06-29,20.9,16.0,1.60,53,17.5
2025-06-30,21.2,15.8,5.00,53,20.3
2025-07-01,19.7,16.0,6.40,55,18.0
2025-07-02,19.0,16.6,14.20,61,21.1
2025-07-03,19.9,16.7,2.90,53,19.8
2025-07-04,21.0,16.7,4.50,53,23.0
2025-07-05,19.0,16.6,10.80,61,22.9
2025-07-06,18.7,15.9,14.10,61,23.2
2025-07-07,18.4,16.2,13.50,61,21.7
2025-07-08,20.1,16.8,7.10,55,22.8
2025-07-09,20.8,16.5,4.80,53,18.1
2025-07-10,20.5,16.5,5.50,53,15.8
2025-07-11,19.5,16.1,7.00,55,16.3
2025-07-12,20.8,16.8,7.60,53,19.5
2025-07-13,20.1,16.5,5.90,53,18.8
2025-07-14,19.4,16.6,10.50,61,21.2
2025-07-15,19.2,16.5,12.20,61,22.9
2025-07-16,19.2,16.0,55.10,63,22.4
2025-07-17,18.6,15.9,15.50,61,21.5
2025-07-18,18.5,16.6,24.30,63,18.7
2025-07-19,18.5,16.5,79.20,65,23.8
2025-07-20,18.2,16.6,45.90,65,21.4
2025-07-21,17.8,16.5,26.20,63,19.0
2025-07-22,18.9,16.5,28.30,63,19.5
2025-07-23,17.5,16.2,39.80,63,23.1
2025-07-24,17.5,15.7,73.10,63,25.7
2025-07-25,17.7,15.6,36.00,63,27.9
2025-07-26,17.8,15.3,93.50,65,26.1
2025-07-27,17.6,15.4,15.20,63,25.8
2025-07-28,20.4,16.1,4.60,55,30.0
2025-07-29,20.1,16.4,5.30,55,30.3
2025-07-30,20.4,16.5,6.40,55,19.4
2025-07-31,20.7,16.2,9.30,55,16.8
2025-08-01,21.2,16.0,3.60,53,13.4
2025-08-02,19.2,16.7,23.60,63,14.0
2025-08-03,21.6,16.2,66.20,65,13.5
2025-08-04,22.9,16.4,4.00,53,11.2
2025-08-05,19.8,15.9,9.30,61,12.3
2025-08-06,22.1,15.1,1.30,51,16.7
2025-08-07,21.7,15.8,8.70,63,9.5
2025-08-08,21.7,16.0,5.00,61,10.1
2025-08-09,20.8,16.1,3.10,55,10.2
2025-08-10,21.4,16.0,4.20,61,12.1
2025-08-11,19.7,16.2,2.40,51,13.3
2025-08-12,19.0,15.6,6.90,55,15.9
2025-08-13,17.4,16.2,20.60,61,18.3
2025-08-14,18.2,15.8,20.80,61,17.2
2025-08-15,18.1,16.3,57.30,63,21.3
2025-08-16,NaN,NaN,NaN,NaN,NaN
2025-08-17,NaN,NaN,NaN,NaN,NaN
